Gmag,sigma
2.0,3.280777506121792
2.5,3.2808297792082137
3.0,3.280912618666821
3.5,3.2810438907746957
4.0,3.2812518938749347
4.5,3.281581433175722
5.0,3.282103408258096
5.5,3.2829299073265332
6.0,3.284237878664169
6.5,3.2863060247042095
7.0,3.2895717448854644
7.5,3.294717670533091
8.0,3.3027999820488962
8.5,3.3154314347259213
9.0,3.3350268851022453
9.5,3.3651024197944523
10.0,3.410589908122538
10.5,3.478109646898688
11.0,3.5762025715586954
11.5,3.715729716024307
12.0,3.9108937166935007
12.5,4.18124301483786
13.0,4.554344502763076
13.5,5.068052143927795
14.0,5.7713868372118835
14.5,6.724247125678049
15.0,7.99750151862577
15.5,9.675147699288958
16.0,11.859240342344163
16.5,14.677519632317498
17.0,18.29390779068679
17.5,22.92306905059587
18.0,28.851753025226568
18.5,36.47184607969723
19.0,46.33359969079971
19.5,59.23364185474027
20.0,76.3635064032474
20.5,99.56428252623738
21.0,131.76443535465475
21.5,177.7185871176042
22.0,245.20970321232915
22.5,346.9334886708162
23.0,503.39385700357116
23.5,747.3711746635258
24.0,1130.9304557621558
24.5,1736.540497103849
